id,num_units_conv,kernel_sizes,pool_sizes,num_units_fc,dropout,optimizer_lr,batch_size,best_acc,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10,acc_11,acc_12,acc_13,acc_14,acc_15,acc_16,acc_17,acc_18,acc_19,acc_20,acc_21,acc_22,acc_23,acc_24,acc_25,acc_26,acc_27,acc_28,acc_29,acc_30,acc_31,acc_32,acc_33,acc_34,acc_35,acc_36,acc_37,acc_38,acc_39,acc_40,acc_41,acc_42,acc_43,acc_44,acc_45,acc_46,acc_47,acc_48,acc_49,acc_50,acc_51,acc_52,acc_53,acc_54,acc_55,acc_56,acc_57,acc_58,acc_59,acc_60,acc_61,acc_62,acc_63,acc_64,acc_65,acc_66,acc_67,acc_68,acc_69,acc_70,acc_71,acc_72,acc_73,acc_74,acc_75,acc_76,acc_77,acc_78,acc_79,acc_80,acc_81,acc_82,acc_83,acc_84,acc_85,acc_86,acc_87,acc_88,acc_89,acc_90,acc_91,acc_92,acc_93,acc_94,acc_95,acc_96,acc_97,acc_98,acc_99,acc_100,acc_101,acc_102,acc_103,acc_104,acc_105,acc_106,acc_107,acc_108,acc_109,acc_110,acc_111,acc_112,acc_113,acc_114,acc_115,acc_116,acc_117,acc_118,acc_119,acc_120,acc_121,acc_122,acc_123,acc_124,acc_125,acc_126,acc_127,acc_128,acc_129,acc_130,acc_131,acc_132,acc_133,acc_134,acc_135,acc_136,acc_137,acc_138,acc_139,acc_140,acc_141,acc_142,acc_143,acc_144,acc_145,acc_146,acc_147,acc_148,acc_149,acc_150,acc_151,acc_152,acc_153,acc_154,acc_155,acc_156,acc_157,acc_158,acc_159,acc_160,acc_161,acc_162,acc_163,acc_164,acc_165,acc_166,acc_167,acc_168,acc_169,acc_170,acc_171,acc_172,acc_173,acc_174,acc_175,acc_176,acc_177,acc_178,acc_179,acc_180,acc_181,acc_182,acc_183,acc_184,acc_185,acc_186,acc_187,acc_188,acc_189,acc_190,acc_191,acc_192,acc_193,acc_194,acc_195,acc_196,acc_197,acc_198,acc_199,acc_200
0,[64],3,2,[64],0.2,0.001,32,0.3946541,0.21226415,0.21855345,0.23427673,0.2688679,0.25943395,0.27515724,0.2735849,0.30503145,0.2893082,0.2735849,0.3081761,0.3427673,0.32232705,0.3490566,0.35220125,0.36792454,0.32389936,0.3474843,0.37578616,0.35691825,0.36320755,0.3301887,0.3773585,0.37578616,0.34119496,0.36477986,0.3663522,0.35220125,0.3616352,0.36949685,0.36320755,0.3600629,0.37578616,0.35220125,0.3710692,0.3663522,0.36320755,0.3537736,0.35062894,0.35691825,0.38050315,0.37578616,0.36792454,0.3427673,0.36320755,0.39150944,0.36949685,0.3600629,0.38207546,0.3474843,0.36792454,0.3616352,0.36320755,0.36949685,0.36477986,0.35220125,0.3710692,0.36792454,0.37421384,0.36320755,0.3537736,0.3710692,0.36477986,0.37421384,0.38679245,0.36792454,0.3726415,0.3836478,0.3616352,0.3600629,0.3537736,0.38522014,0.3663522,0.3663522,0.3616352,0.36792454,0.3616352,0.3663522,0.3663522,0.36320755,0.3600629,0.36320755,0.3537736,0.35849056,0.36949685,0.36477986,0.34591195,0.35220125,0.36949685,0.3616352,0.35062894,0.36320755,0.37421384,0.3789308,0.3663522,0.37421384,0.3773585,0.37421384,0.36949685,0.37421384,0.3616352,0.35691825,0.36792454,0.36792454,0.36477986,0.38522014,0.3616352,0.3836478,0.3710692,0.3474843,0.3474843,0.3726415,0.3663522,0.37421384,0.3537736,0.3663522,0.37421384,0.35062894,0.35691825,0.3616352,0.3427673,0.3553459,0.36792454,0.35062894,0.35849056,0.36320755,0.37578616,0.37421384,0.36949685,0.36792454,0.35849056,0.37578616,0.35691825,0.36792454,0.3726415,0.3600629,0.35849056,0.3789308,0.35691825,0.3616352,0.3616352,0.36320755,0.36320755,0.3726415,0.3663522,0.36792454,0.36792454,0.37421384,0.37578616,0.37578616,0.3789308,0.37578616,0.35691825,0.3600629,0.3600629,0.3616352,0.3616352,0.3616352,0.39150944,0.3883648,0.39150944,0.3726415,0.3773585,0.3616352,0.38050315,0.37421384,0.36477986,0.36949685,0.3789308,0.36320755,0.37421384,0.3726415,0.3600629,0.35220125,0.36792454,0.3773585,0.3789308,0.37421384,0.35691825,0.3773585,0.3616352,0.38050315,0.37578616,0.3773585,0.3616352,0.36477986,0.36792454,0.3946541,0.3663522,0.3663522,0.3537736,0.3726415,0.37421384,0.3726415,0.36320755,0.3773585,0.36792454,0.3726415,0.36949685,0.36792454
1,[64],3,2,[64],0.2,0.001,64,0.39779875,0.17767295,0.20125785,0.21383648,0.22012578,0.23427673,0.22012578,0.23427673,0.24528302,0.23742138,0.24685535,0.26572326,0.26572326,0.2893082,0.27044025,0.2783019,0.2720126,0.3128931,0.3254717,0.2783019,0.34119496,0.3301887,0.34119496,0.32704404,0.3443396,0.3537736,0.3490566,0.33962265,0.36792454,0.3600629,0.3553459,0.3710692,0.35849056,0.32232705,0.3537736,0.35849056,0.3537736,0.3789308,0.3490566,0.3600629,0.3490566,0.3537736,0.3663522,0.36320755,0.3726415,0.3773585,0.36949685,0.36320755,0.3726415,0.3789308,0.35062894,0.3616352,0.35691825,0.38679245,0.36792454,0.3616352,0.3616352,0.3726415,0.38207546,0.3773585,0.3773585,0.36477986,0.3710692,0.36792454,0.37578616,0.3789308,0.36792454,0.38207546,0.3773585,0.36477986,0.36477986,0.3726415,0.3537736,0.36477986,0.35691825,0.3726415,0.3616352,0.3710692,0.37578616,0.36477986,0.36792454,0.37421384,0.3773585,0.3836478,0.35220125,0.38207546,0.35849056,0.38207546,0.3773585,0.3663522,0.3789308,0.3616352,0.36949685,0.36792454,0.3726415,0.37578616,0.3773585,0.3773585,0.3726415,0.37578616,0.3789308,0.36949685,0.37421384,0.3883648,0.3710692,0.36949685,0.36320755,0.38679245,0.3773585,0.34591195,0.38679245,0.36320755,0.3773585,0.38522014,0.3663522,0.3710692,0.38207546,0.37421384,0.36949685,0.3600629,0.37578616,0.3663522,0.38207546,0.38050315,0.38207546,0.3710692,0.35220125,0.38207546,0.38679245,0.38207546,0.3726415,0.37578616,0.37421384,0.38207546,0.36949685,0.3883648,0.3663522,0.36320755,0.36949685,0.3836478,0.36792454,0.3553459,0.38522014,0.3443396,0.36320755,0.3836478,0.3663522,0.36320755,0.36792454,0.36477986,0.36792454,0.3789308,0.3789308,0.3726415,0.3600629,0.3773585,0.37421384,0.38050315,0.3726415,0.3789308,0.3616352,0.38522014,0.3616352,0.3962264,0.39150944,0.36949685,0.3726415,0.38050315,0.3836478,0.3836478,0.3616352,0.37578616,0.37578616,0.38522014,0.3553459,0.37421384,0.38522014,0.3663522,0.35062894,0.36320755,0.38679245,0.3663522,0.36477986,0.35849056,0.36477986,0.37421384,0.39150944,0.3710692,0.36477986,0.37578616,0.3726415,0.36792454,0.37578616,0.3883648,0.39150944,0.36949685,0.37421384,0.3883648,0.39779875,0.3616352,0.38050315
2,[64],3,2,[64],0.2,0.001,128,0.38522014,0.18238993,0.20125785,0.2327044,0.22169812,0.2154088,0.21383648,0.25157234,0.25,0.2437107,0.26572326,0.2672956,0.28773585,0.2798742,0.2893082,0.30974844,0.31132075,0.33333334,0.2971698,0.3018868,0.31761006,0.3474843,0.2908805,0.36477986,0.30503145,0.3616352,0.3207547,0.3427673,0.35062894,0.3553459,0.336478,0.3663522,0.3537736,0.3537736,0.36949685,0.31603774,0.35691825,0.34591195,0.3490566,0.3600629,0.35062894,0.3553459,0.35691825,0.35691825,0.36320755,0.37578616,0.3490566,0.35849056,0.3553459,0.36792454,0.35849056,0.3553459,0.36320755,0.3537736,0.35062894,0.3710692,0.3553459,0.38050315,0.3710692,0.38050315,0.3663522,0.35849056,0.36792454,0.3616352,0.3474843,0.35849056,0.3616352,0.36792454,0.36320755,0.3773585,0.35691825,0.36949685,0.3663522,0.36792454,0.36792454,0.35062894,0.3726415,0.3553459,0.36792454,0.37421384,0.3616352,0.3710692,0.38207546,0.37578616,0.37421384,0.35849056,0.3726415,0.36477986,0.36949685,0.3726415,0.37421384,0.37578616,0.3600629,0.3600629,0.3663522,0.3710692,0.35849056,0.35062894,0.36477986,0.35062894,0.3663522,0.35691825,0.3663522,0.3773585,0.37578616,0.3726415,0.3773585,0.3616352,0.3537736,0.3663522,0.3616352,0.3710692,0.3537736,0.36792454,0.3490566,0.38050315,0.35691825,0.3773585,0.3616352,0.3663522,0.3474843,0.37421384,0.3553459,0.3537736,0.36477986,0.36477986,0.3490566,0.36949685,0.3663522,0.3553459,0.38050315,0.36949685,0.3537736,0.3726415,0.3773585,0.3600629,0.36320755,0.35849056,0.35691825,0.36320755,0.3537736,0.3773585,0.38050315,0.36949685,0.36949685,0.3663522,0.36477986,0.36792454,0.38522014,0.35849056,0.3663522,0.36949685,0.3553459,0.36477986,0.35691825,0.3836478,0.38050315,0.3553459,0.35849056,0.36477986,0.36320755,0.3600629,0.35220125,0.3726415,0.36320755,0.37421384,0.37421384,0.3773585,0.3773585,0.35849056,0.36477986,0.36949685,0.3710692,0.3663522,0.37578616,0.3616352,0.36320755,0.35849056,0.36477986,0.36792454,0.36477986,0.34591195,0.3474843,0.37421384,0.36792454,0.3726415,0.36792454,0.3537736,0.37421384,0.36477986,0.3600629,0.36949685,0.3789308,0.3663522,0.35691825,0.37578616,0.3616352,0.3710692,0.3710692,0.36949685,0.3537736
3,[64],3,2,[64],0.5,0.001,32,0.3773585,0.21855345,0.21855345,0.23427673,0.2437107,0.2154088,0.25314465,0.25943395,0.2625786,0.2562893,0.2720126,0.27515724,0.28301886,0.2783019,0.28301886,0.2688679,0.32389936,0.2861635,0.2955975,0.3380503,0.331761,0.33962265,0.3207547,0.3443396,0.3128931,0.35849056,0.36477986,0.3301887,0.3553459,0.3490566,0.35849056,0.3144654,0.36792454,0.3443396,0.3490566,0.34591195,0.35849056,0.35062894,0.3600629,0.36949685,0.3616352,0.36320755,0.3490566,0.36792454,0.3663522,0.35220125,0.35691825,0.3616352,0.3537736,0.3443396,0.3474843,0.3600629,0.336478,0.3553459,0.35849056,0.3553459,0.3553459,0.3474843,0.3537736,0.36320755,0.35849056,0.35849056,0.331761,0.35062894,0.34591195,0.3474843,0.3380503,0.3537736,0.3537736,0.3600629,0.36320755,0.35691825,0.36477986,0.3616352,0.3710692,0.36320755,0.36320755,0.336478,0.36792454,0.36320755,0.35691825,0.3537736,0.35691825,0.3710692,0.331761,0.36320755,0.3553459,0.35849056,0.3553459,0.3380503,0.35691825,0.35691825,0.3616352,0.3490566,0.3474843,0.3427673,0.35849056,0.36320755,0.36477986,0.35062894,0.33962265,0.35220125,0.35691825,0.35691825,0.3474843,0.3773585,0.3474843,0.35220125,0.3443396,0.35691825,0.36792454,0.36320755,0.3537736,0.3616352,0.35220125,0.336478,0.3616352,0.3490566,0.3490566,0.3380503,0.34119496,0.3490566,0.34119496,0.3474843,0.35220125,0.3474843,0.3474843,0.3474843,0.3474843,0.3427673,0.34591195,0.331761,0.34119496,0.34119496,0.3474843,0.3380503,0.33490565,0.33333334,0.3553459,0.34591195,0.3537736,0.3600629,0.3380503,0.33490565,0.3427673,0.3380503,0.3537736,0.34591195,0.35220125,0.33333334,0.3490566,0.33962265,0.35849056,0.34591195,0.3490566,0.3380503,0.3553459,0.3474843,0.35849056,0.3443396,0.3553459,0.35220125,0.3537736,0.3474843,0.35220125,0.33490565,0.331761,0.3616352,0.35220125,0.35220125,0.35220125,0.35062894,0.3427673,0.3490566,0.3474843,0.35220125,0.3474843,0.3443396,0.3474843,0.3443396,0.3616352,0.3616352,0.34591195,0.35220125,0.3443396,0.3490566,0.3427673,0.3427673,0.34591195,0.33962265,0.34119496,0.3474843,0.3443396,0.35220125,0.35691825,0.3600629,0.3427673,0.3553459,0.3553459,0.3537736,0.35062894
4,[64],3,2,[64],0.5,0.001,64,0.38522014,0.19654088,0.22012578,0.23427673,0.25786164,0.2688679,0.25943395,0.2908805,0.25786164,0.2971698,0.29402515,0.3191824,0.2783019,0.33962265,0.35062894,0.33962265,0.3474843,0.29874215,0.36477986,0.3191824,0.3600629,0.3191824,0.33490565,0.3600629,0.3490566,0.3474843,0.3474843,0.35062894,0.33962265,0.3443396,0.336478,0.36477986,0.3616352,0.35691825,0.36320755,0.33962265,0.3553459,0.3553459,0.3616352,0.35220125,0.36792454,0.3380503,0.36792454,0.36949685,0.3490566,0.35220125,0.35691825,0.36477986,0.3474843,0.36949685,0.3616352,0.3726415,0.36792454,0.36792454,0.36949685,0.35220125,0.3663522,0.3616352,0.36949685,0.3474843,0.36792454,0.3616352,0.36320755,0.36320755,0.3663522,0.3616352,0.36792454,0.36477986,0.3443396,0.3726415,0.3663522,0.3710692,0.36477986,0.36320755,0.36477986,0.35220125,0.3616352,0.35220125,0.35220125,0.3710692,0.3616352,0.35691825,0.3710692,0.35062894,0.36792454,0.37578616,0.3443396,0.36477986,0.35849056,0.3490566,0.35691825,0.36320755,0.37421384,0.3443396,0.35220125,0.35691825,0.3537736,0.3726415,0.3553459,0.35849056,0.35691825,0.36949685,0.3710692,0.3600629,0.3553459,0.3600629,0.35691825,0.3773585,0.35691825,0.36320755,0.36320755,0.3600629,0.3427673,0.35691825,0.36792454,0.35062894,0.3553459,0.35849056,0.36477986,0.3600629,0.3616352,0.36792454,0.3663522,0.35220125,0.3663522,0.3710692,0.3663522,0.36477986,0.35849056,0.35849056,0.35691825,0.35691825,0.36477986,0.35691825,0.36320755,0.37421384,0.3616352,0.36792454,0.36477986,0.3537736,0.35691825,0.36792454,0.36792454,0.3616352,0.36320755,0.3726415,0.3616352,0.36320755,0.3600629,0.3600629,0.34591195,0.3537736,0.3537736,0.3710692,0.38522014,0.3663522,0.3663522,0.35849056,0.3789308,0.3710692,0.36320755,0.3663522,0.3537736,0.36949685,0.3600629,0.3600629,0.36949685,0.3553459,0.3663522,0.36792454,0.3710692,0.36477986,0.36477986,0.3773585,0.3710692,0.35691825,0.3663522,0.3726415,0.3537736,0.3537736,0.36320755,0.36949685,0.3600629,0.3773585,0.36477986,0.36320755,0.37421384,0.3553459,0.3663522,0.36477986,0.36477986,0.3663522,0.34591195,0.36477986,0.3474843,0.3474843,0.35220125,0.36477986,0.3537736,0.3663522,0.36477986
5,[64],3,2,[64],0.5,0.001,128,0.38679245,0.2091195,0.21855345,0.2389937,0.25157234,0.24213837,0.2327044,0.25314465,0.27044025,0.2735849,0.24842767,0.254717,0.2437107,0.27044025,0.31761006,0.27044025,0.28301886,0.3207547,0.2955975,0.32232705,0.3254717,0.3128931,0.32704404,0.3254717,0.34119496,0.3207547,0.32704404,0.33333334,0.3600629,0.34591195,0.3301887,0.35062894,0.3553459,0.3443396,0.3600629,0.3710692,0.34591195,0.36792454,0.3789308,0.3600629,0.35691825,0.36792454,0.331761,0.3537736,0.36792454,0.3600629,0.35691825,0.36477986,0.36792454,0.3616352,0.36792454,0.3726415,0.36320755,0.37421384,0.331761,0.3537736,0.37578616,0.3553459,0.34119496,0.3443396,0.38050315,0.36949685,0.3726415,0.36477986,0.33962265,0.37578616,0.36949685,0.3663522,0.3710692,0.3380503,0.38679245,0.37578616,0.37421384,0.3616352,0.3663522,0.3616352,0.36792454,0.3773585,0.3600629,0.3553459,0.36477986,0.3789308,0.3836478,0.35220125,0.36477986,0.3663522,0.3490566,0.36320755,0.3663522,0.37421384,0.36949685,0.3537736,0.3710692,0.3726415,0.3616352,0.37578616,0.3553459,0.3600629,0.3789308,0.3663522,0.3726415,0.37421384,0.38207546,0.3710692,0.3726415,0.36320755,0.3616352,0.35849056,0.35691825,0.36320755,0.3663522,0.3616352,0.33490565,0.34119496,0.37578616,0.3600629,0.3710692,0.36477986,0.35849056,0.36792454,0.36477986,0.35220125,0.3600629,0.3616352,0.3537736,0.36792454,0.3600629,0.3616352,0.3663522,0.37578616,0.3553459,0.36949685,0.36320755,0.36320755,0.36949685,0.36320755,0.3553459,0.36792454,0.3616352,0.35062894,0.3710692,0.36949685,0.36477986,0.3600629,0.36477986,0.3537736,0.36949685,0.35062894,0.3490566,0.3600629,0.36792454,0.36792454,0.3710692,0.3616352,0.3663522,0.36949685,0.35062894,0.36320755,0.35849056,0.3710692,0.3537736,0.3553459,0.35849056,0.35220125,0.36320755,0.3663522,0.35691825,0.36320755,0.3474843,0.35220125,0.35220125,0.3490566,0.3616352,0.3537736,0.35691825,0.3537736,0.3710692,0.3553459,0.3553459,0.3427673,0.3537736,0.36477986,0.3616352,0.3663522,0.35691825,0.35691825,0.3427673,0.3474843,0.36320755,0.36792454,0.33490565,0.3474843,0.3443396,0.3600629,0.36477986,0.3553459,0.3663522,0.35062894,0.36320755,0.3663522,0.35062894
6,[64],3,2,[512],0.2,0.001,32,0.39937106,0.22798742,0.2562893,0.28144655,0.2720126,0.3427673,0.34119496,0.32704404,0.3600629,0.336478,0.3427673,0.3490566,0.3018868,0.35849056,0.36949685,0.3553459,0.37421384,0.3443396,0.3663522,0.3553459,0.3773585,0.36320755,0.38207546,0.3663522,0.3443396,0.3553459,0.3490566,0.35220125,0.3663522,0.3600629,0.35849056,0.33333334,0.35220125,0.3710692,0.35849056,0.36949685,0.35849056,0.36477986,0.36477986,0.35062894,0.36477986,0.37578616,0.3474843,0.3710692,0.3663522,0.3726415,0.38207546,0.3789308,0.36320755,0.39308175,0.3616352,0.3836478,0.3600629,0.3773585,0.3726415,0.3836478,0.3616352,0.38050315,0.38050315,0.37421384,0.37578616,0.39937106,0.39779875,0.3899371,0.36949685,0.3616352,0.3616352,0.37421384,0.3836478,0.39308175,0.3616352,0.3883648,0.3773585,0.3726415,0.34591195,0.3883648,0.36320755,0.37578616,0.37421384,0.3836478,0.3773585,0.3899371,0.3726415,0.3946541,0.3789308,0.3443396,0.38679245,0.38207546,0.39308175,0.37578616,0.3663522,0.3883648,0.39150944,0.3726415,0.36477986,0.37578616,0.3789308,0.36320755,0.36477986,0.38522014,0.37421384,0.38050315,0.3726415,0.3726415,0.35849056,0.35849056,0.3553459,0.3789308,0.3616352,0.36949685,0.36949685,0.37578616,0.36949685,0.3490566,0.3427673,0.36792454,0.36477986,0.36949685,0.35220125,0.3537736,0.3380503,0.36949685,0.36949685,0.3663522,0.3553459,0.3427673,0.35849056,0.34591195,0.36949685,0.3663522,0.3710692,0.36792454,0.36320755,0.35062894,0.3663522,0.3710692,0.3710692,0.3553459,0.331761,0.3443396,0.32861635,0.36320755,0.3726415,0.3443396,0.35062894,0.34119496,0.336478,0.36477986,0.3616352,0.3600629,0.3474843,0.32704404,0.3616352,0.36477986,0.3600629,0.3553459,0.3600629,0.35849056,0.35220125,0.3616352,0.35691825,0.3490566,0.35062894,0.336478,0.35062894,0.36792454,0.35220125,0.33333334,0.3380503,0.336478,0.35849056,0.3726415,0.3443396,0.3490566,0.3427673,0.3474843,0.3443396,0.3616352,0.34591195,0.3490566,0.35691825,0.331761,0.3726415,0.3474843,0.33490565,0.35691825,0.34591195,0.36477986,0.35691825,0.35220125,0.3380503,0.33962265,0.33490565,0.35062894,0.35062894,0.34591195,0.3427673,0.3490566,0.35220125,0.34591195,0.3553459
7,[64],3,2,[512],0.2,0.001,64,0.4009434,0.22012578,0.27672955,0.21698113,0.27044025,0.29245284,0.30660376,0.2955975,0.30660376,0.35691825,0.3616352,0.3443396,0.35062894,0.331761,0.37421384,0.3710692,0.35849056,0.3726415,0.3600629,0.3600629,0.36320755,0.3537736,0.38207546,0.36477986,0.3663522,0.38207546,0.36792454,0.3663522,0.35691825,0.3600629,0.37421384,0.3710692,0.35062894,0.3789308,0.36949685,0.36477986,0.3663522,0.35691825,0.36320755,0.36949685,0.37578616,0.3600629,0.37578616,0.3726415,0.35691825,0.36477986,0.3616352,0.3663522,0.3553459,0.37421384,0.35220125,0.35062894,0.3773585,0.35849056,0.35062894,0.35691825,0.35062894,0.3836478,0.36320755,0.35849056,0.35849056,0.36949685,0.3427673,0.35220125,0.36477986,0.37421384,0.35849056,0.37421384,0.3490566,0.35849056,0.3474843,0.35691825,0.35691825,0.36949685,0.3537736,0.3726415,0.36477986,0.3663522,0.3600629,0.36792454,0.3600629,0.3726415,0.3789308,0.35849056,0.3710692,0.36792454,0.36477986,0.36949685,0.36949685,0.3710692,0.38522014,0.37578616,0.38050315,0.4009434,0.38679245,0.36949685,0.39937106,0.37421384,0.36949685,0.3663522,0.36320755,0.39150944,0.3490566,0.36792454,0.36320755,0.36949685,0.3710692,0.36792454,0.3726415,0.3726415,0.36792454,0.3773585,0.37421384,0.3600629,0.38050315,0.3726415,0.3899371,0.38522014,0.36949685,0.3616352,0.35849056,0.36949685,0.3553459,0.3789308,0.36949685,0.3789308,0.38522014,0.3789308,0.36792454,0.35691825,0.3600629,0.36477986,0.37578616,0.3710692,0.3773585,0.36320755,0.36949685,0.3600629,0.37421384,0.3726415,0.36320755,0.36949685,0.3773585,0.37578616,0.3946541,0.3600629,0.3537736,0.38050315,0.37421384,0.3726415,0.36477986,0.36320755,0.3726415,0.3836478,0.36792454,0.36792454,0.3553459,0.36477986,0.36320755,0.37421384,0.36949685,0.3899371,0.3663522,0.36949685,0.36477986,0.36477986,0.38207546,0.3616352,0.38050315,0.36320755,0.36320755,0.36320755,0.36949685,0.36949685,0.3726415,0.3600629,0.3616352,0.36949685,0.3663522,0.3537736,0.36477986,0.3600629,0.37578616,0.3726415,0.3600629,0.36949685,0.37421384,0.38207546,0.3773585,0.37578616,0.36792454,0.36949685,0.3773585,0.3600629,0.39150944,0.3663522,0.36792454,0.3710692,0.38207546,0.3710692,0.3616352
8,[64],3,2,[512],0.2,0.001,128,0.39150944,0.2091195,0.2327044,0.2327044,0.21383648,0.27044025,0.24685535,0.2845912,0.2562893,0.30503145,0.336478,0.30974844,0.28773585,0.33333334,0.35220125,0.32861635,0.34119496,0.3443396,0.3474843,0.3380503,0.35062894,0.35220125,0.35220125,0.3537736,0.3427673,0.36477986,0.3553459,0.37421384,0.37578616,0.35691825,0.36477986,0.36320755,0.3663522,0.36949685,0.3789308,0.3836478,0.38207546,0.3553459,0.3663522,0.3710692,0.37421384,0.3773585,0.39150944,0.3663522,0.3616352,0.3789308,0.38207546,0.37578616,0.3789308,0.36949685,0.3726415,0.38522014,0.36477986,0.36792454,0.3663522,0.36320755,0.35691825,0.3537736,0.3710692,0.36949685,0.35849056,0.3616352,0.35691825,0.3710692,0.3710692,0.37578616,0.38050315,0.3710692,0.36949685,0.37421384,0.38679245,0.3663522,0.3726415,0.3600629,0.3600629,0.3773585,0.38050315,0.35849056,0.3726415,0.36792454,0.36949685,0.3710692,0.3537736,0.36949685,0.3553459,0.37578616,0.36792454,0.36477986,0.3600629,0.35062894,0.34119496,0.36477986,0.3600629,0.36949685,0.36477986,0.36477986,0.38207546,0.35062894,0.3490566,0.36320755,0.3616352,0.36792454,0.3537736,0.3537736,0.3726415,0.3663522,0.3663522,0.36477986,0.37421384,0.3600629,0.35849056,0.35691825,0.35062894,0.3663522,0.3726415,0.3553459,0.36949685,0.36477986,0.37421384,0.3663522,0.3553459,0.37421384,0.37421384,0.35849056,0.3710692,0.3663522,0.3616352,0.36949685,0.3663522,0.37421384,0.3789308,0.35849056,0.36792454,0.3726415,0.36477986,0.35849056,0.38679245,0.3474843,0.38207546,0.37578616,0.3726415,0.37578616,0.3600629,0.36792454,0.3726415,0.36949685,0.3710692,0.38050315,0.3726415,0.37421384,0.3663522,0.36477986,0.35849056,0.3600629,0.35062894,0.33962265,0.3726415,0.36477986,0.3490566,0.37421384,0.38522014,0.35849056,0.36792454,0.3663522,0.36477986,0.3663522,0.3616352,0.36320755,0.36477986,0.36477986,0.3490566,0.36320755,0.38207546,0.3710692,0.35220125,0.34591195,0.36320755,0.3710692,0.3773585,0.36477986,0.36477986,0.34119496,0.36477986,0.38679245,0.3443396,0.36792454,0.3616352,0.3773585,0.3726415,0.35849056,0.3773585,0.35691825,0.36792454,0.36792454,0.37578616,0.36792454,0.3710692,0.3600629,0.36792454,0.3600629,0.3474843
9,[64],3,2,[512],0.5,0.001,32,0.42138365,0.22955975,0.22169812,0.25786164,0.2672956,0.27672955,0.2908805,0.2672956,0.28301886,0.3490566,0.36477986,0.3553459,0.36320755,0.3474843,0.33490565,0.3600629,0.33962265,0.3553459,0.35849056,0.36320755,0.3443396,0.33962265,0.3490566,0.35220125,0.3726415,0.34591195,0.3301887,0.3537736,0.36792454,0.3600629,0.3553459,0.35849056,0.36477986,0.3553459,0.36477986,0.3537736,0.36320755,0.36320755,0.36792454,0.35849056,0.37578616,0.36949685,0.37421384,0.3537736,0.36320755,0.36320755,0.3537736,0.37578616,0.3726415,0.3553459,0.3663522,0.3490566,0.36949685,0.36320755,0.3883648,0.3726415,0.36320755,0.38050315,0.3663522,0.3946541,0.3773585,0.3836478,0.3789308,0.3710692,0.37421384,0.38522014,0.39150944,0.38679245,0.39308175,0.36477986,0.3962264,0.3962264,0.38679245,0.39150944,0.39308175,0.4025157,0.38679245,0.37578616,0.39779875,0.3899371,0.4009434,0.39937106,0.3962264,0.4009434,0.4009434,0.39150944,0.4009434,0.39779875,0.418239,0.41037735,0.3836478,0.4009434,0.38679245,0.40408805,0.4025157,0.4056604,0.4056604,0.4072327,0.4056604,0.4072327,0.4025157,0.4119497,0.42138365,0.4009434,0.4009434,0.3962264,0.39150944,0.413522,0.39779875,0.4072327,0.37421384,0.39308175,0.3946541,0.3836478,0.38522014,0.40408805,0.41037735,0.38679245,0.4072327,0.4009434,0.4025157,0.3946541,0.38679245,0.3962264,0.38679245,0.38050315,0.3899371,0.4072327,0.40408805,0.38679245,0.39937106,0.3962264,0.4119497,0.39779875,0.3946541,0.38679245,0.3726415,0.3836478,0.4072327,0.39150944,0.3883648,0.4009434,0.3710692,0.3789308,0.3883648,0.39308175,0.4056604,0.3883648,0.3962264,0.38679245,0.3883648,0.38207546,0.3946541,0.38679245,0.4072327,0.3946541,0.3946541,0.39308175,0.3836478,0.40880504,0.38050315,0.40408805,0.39150944,0.3962264,0.40408805,0.39937106,0.3962264,0.38679245,0.39150944,0.3946541,0.39150944,0.39308175,0.3883648,0.3946541,0.39779875,0.39150944,0.40880504,0.3946541,0.39150944,0.38207546,0.3946541,0.38522014,0.3962264,0.39150944,0.3883648,0.4009434,0.3836478,0.3899371,0.38679245,0.39150944,0.3883648,0.39937106,0.37578616,0.3836478,0.39937106,0.3883648,0.3899371,0.3962264,0.38207546,0.37578616,0.4025157
