id,num_units,dropout,num_units_fc,optimizer_lr,batch_size,best_acc,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10,acc_11,acc_12,acc_13,acc_14,acc_15,acc_16,acc_17,acc_18,acc_19,acc_20,acc_21,acc_22,acc_23,acc_24,acc_25,acc_26,acc_27,acc_28,acc_29,acc_30,acc_31,acc_32,acc_33,acc_34,acc_35,acc_36,acc_37,acc_38,acc_39,acc_40,acc_41,acc_42,acc_43,acc_44,acc_45,acc_46,acc_47,acc_48,acc_49,acc_50
0,32,0.2,[64],0.001,32,0.24685535,0.16352202,0.22484277,0.21226415,0.18710692,0.17924528,0.20597485,0.18238993,0.16981132,0.18867925,0.15566038,0.16194968,0.17924528,0.1808176,0.18396227,0.1808176,0.1808176,0.18396227,0.1808176,0.18238993,0.1918239,0.18396227,0.19654088,0.2154088,0.20440252,0.21069182,0.24213837,0.23113208,0.22169812,0.22012578,0.22327045,0.21855345,0.23113208,0.23113208,0.20754717,0.22798742,0.22327045,0.21069182,0.22012578,0.22169812,0.23427673,0.24685535,0.22484277,0.2327044,0.24056605,0.24056605,0.22169812,0.21383648,0.2091195,0.22327045,0.21698113
1,32,0.2,[64],0.001,64,0.22012578,0.17138365,0.16352202,0.18710692,0.17138365,0.1745283,0.16194968,0.19025157,0.17610063,0.19968553,0.2028302,0.18710692,0.21226415,0.19339623,0.19025157,0.19968553,0.19968553,0.1981132,0.19968553,0.22012578,0.20440252,0.20597485,0.19654088,0.1918239,0.19654088,0.19654088,0.1981132,0.19968553,0.1855346,0.2028302,0.19968553,0.20440252,0.1918239,0.20754717,0.20125785,0.20125785,0.19339623,0.19968553,0.1981132,0.19496855,0.19496855,0.18867925,0.18710692,0.1855346,0.1918239,0.19025157,0.19025157,0.18710692,0.1918239,0.20597485,0.19496855
2,32,0.2,[64],0.001,128,0.25,0.16194968,0.1855346,0.19496855,0.21383648,0.20754717,0.19339623,0.19025157,0.18710692,0.22798742,0.17767295,0.17295597,0.2154088,0.21226415,0.20440252,0.21383648,0.20440252,0.2327044,0.2437107,0.22012578,0.23742138,0.23113208,0.2327044,0.21855345,0.21698113,0.2091195,0.2264151,0.23113208,0.24056605,0.2327044,0.22169812,0.2327044,0.2264151,0.22798742,0.25,0.22955975,0.23584905,0.21855345,0.2154088,0.22484277,0.23113208,0.22327045,0.22955975,0.22955975,0.2327044,0.2437107,0.22012578,0.21698113,0.2327044,0.2264151,0.23742138
3,32,0.5,[64],0.001,32,0.22327045,0.16352202,0.16509435,0.16352202,0.16666667,0.14779875,0.18238993,0.2091195,0.15880503,0.17924528,0.168239,0.18396227,0.19968553,0.17924528,0.18867925,0.18396227,0.18396227,0.19025157,0.1855346,0.19968553,0.18867925,0.19025157,0.18396227,0.1855346,0.18710692,0.18867925,0.2028302,0.19339623,0.19968553,0.19025157,0.19654088,0.19025157,0.18710692,0.18867925,0.19968553,0.19496855,0.19339623,0.2028302,0.20754717,0.1981132,0.2091195,0.20754717,0.21855345,0.2028302,0.20754717,0.21855345,0.20125785,0.2154088,0.22327045,0.20597485,0.21698113
4,32,0.5,[64],0.001,64,0.24056605,0.16352202,0.18238993,0.17767295,0.1918239,0.1808176,0.1808176,0.16352202,0.2091195,0.19339623,0.19654088,0.19654088,0.20125785,0.2028302,0.19654088,0.2028302,0.20754717,0.18238993,0.168239,0.17295597,0.16352202,0.16037735,0.17138365,0.1808176,0.17924528,0.17610063,0.1808176,0.17767295,0.18396227,0.17924528,0.17767295,0.1808176,0.18238993,0.18710692,0.1808176,0.17767295,0.18396227,0.1855346,0.19968553,0.19968553,0.1981132,0.2264151,0.22955975,0.2389937,0.23584905,0.24056605,0.2327044,0.21069182,0.20754717,0.20597485,0.20125785
5,32,0.5,[64],0.001,128,0.20440252,0.18867925,0.15408805,0.18238993,0.16352202,0.19339623,0.18867925,0.18710692,0.1918239,0.17295597,0.1509434,0.18396227,0.18238993,0.17610063,0.16981132,0.18238993,0.17610063,0.168239,0.17610063,0.17610063,0.17767295,0.17924528,0.17138365,0.18867925,0.15880503,0.15408805,0.14622642,0.17767295,0.18867925,0.17610063,0.1808176,0.19025157,0.20440252,0.20125785,0.19496855,0.17610063,0.17924528,0.16666667,0.15880503,0.16352202,0.17295597,0.16352202,0.17295597,0.17610063,0.18238993,0.17767295,0.17295597,0.16981132,0.16037735,0.16666667,0.168239
6,64,0.2,[64],0.001,32,0.21698113,0.17767295,0.16509435,0.16509435,0.1745283,0.19025157,0.18238993,0.18396227,0.17924528,0.17767295,0.18867925,0.18396227,0.17295597,0.15880503,0.14622642,0.16037735,0.18867925,0.1855346,0.16194968,0.16194968,0.17138365,0.18867925,0.168239,0.1855346,0.21698113,0.20440252,0.15880503,0.1808176,0.2154088,0.16666667,0.16981132,0.17138365,0.17767295,0.18238993,0.17767295,0.17767295,0.17295597,0.17924528,0.17767295,0.18710692,0.17767295,0.17767295,0.17767295,0.17924528,0.18238993,0.1855346,0.1808176,0.17924528,0.1855346,0.1808176,0.19025157
7,64,0.2,[64],0.001,64,0.2437107,0.16352202,0.19968553,0.20125785,0.1981132,0.20754717,0.20754717,0.18396227,0.22012578,0.22012578,0.18396227,0.168239,0.16981132,0.18867925,0.19339623,0.19339623,0.22012578,0.21698113,0.21698113,0.2389937,0.2437107,0.24213837,0.2264151,0.2264151,0.19496855,0.1745283,0.19025157,0.1855346,0.18710692,0.1855346,0.18867925,0.19968553,0.20440252,0.2154088,0.20125785,0.22012578,0.1981132,0.19025157,0.20440252,0.20440252,0.20597485,0.21069182,0.21855345,0.21855345,0.22798742,0.24056605,0.22798742,0.22012578,0.2028302,0.22798742,0.23113208
8,64,0.2,[64],0.001,128,0.23113208,0.1745283,0.17610063,0.21698113,0.19968553,0.19654088,0.1855346,0.2028302,0.18396227,0.18710692,0.16037735,0.16981132,0.1745283,0.17610063,0.19339623,0.17138365,0.16352202,0.16981132,0.16037735,0.16509435,0.17295597,0.19968553,0.20440252,0.22484277,0.2028302,0.2154088,0.2154088,0.21855345,0.21383648,0.22327045,0.22327045,0.2264151,0.19968553,0.20440252,0.2028302,0.21698113,0.20440252,0.2091195,0.23113208,0.21226415,0.20597485,0.21698113,0.22484277,0.21698113,0.2264151,0.22012578,0.18396227,0.18710692,0.19654088,0.19496855,0.2154088
9,64,0.5,[64],0.001,32,0.22327045,0.16352202,0.18238993,0.17138365,0.17924528,0.16981132,0.16509435,0.16981132,0.16037735,0.1855346,0.1745283,0.18710692,0.20440252,0.16352202,0.17610063,0.15880503,0.19496855,0.20125785,0.18867925,0.1808176,0.19339623,0.18867925,0.19339623,0.1855346,0.18867925,0.18396227,0.1918239,0.19025157,0.17924528,0.18238993,0.1918239,0.19496855,0.18238993,0.1918239,0.19654088,0.19025157,0.1918239,0.21069182,0.19496855,0.21069182,0.19025157,0.20440252,0.20125785,0.1981132,0.21698113,0.22169812,0.21069182,0.22169812,0.21383648,0.22327045,0.21855345
10,64,0.5,[64],0.001,64,0.19968553,0.19339623,0.16981132,0.17767295,0.16352202,0.1745283,0.17295597,0.16509435,0.18396227,0.1808176,0.16194968,0.15566038,0.15408805,0.17138365,0.17295597,0.168239,0.1918239,0.18710692,0.1808176,0.1855346,0.17138365,0.17767295,0.17767295,0.18867925,0.17610063,0.19496855,0.17610063,0.1918239,0.1918239,0.18396227,0.17767295,0.168239,0.19496855,0.18867925,0.19968553,0.19968553,0.1918239,0.1918239,0.18396227,0.1572327,0.16037735,0.15251572,0.1572327,0.16352202,0.16509435,0.168239,0.17295597,0.1808176,0.17767295,0.17610063,0.17295597
11,64,0.5,[64],0.001,128,0.20125785,0.16037735,0.18238993,0.1981132,0.1808176,0.1855346,0.18710692,0.17138365,0.1855346,0.17924528,0.1855346,0.18396227,0.17924528,0.17295597,0.17295597,0.16981132,0.168239,0.1745283,0.18867925,0.15880503,0.16194968,0.16509435,0.18396227,0.16666667,0.20125785,0.16666667,0.168239,0.16666667,0.17138365,0.1745283,0.17138365,0.16981132,0.168239,0.17138365,0.16981132,0.168239,0.17138365,0.16981132,0.168239,0.16509435,0.16981132,0.1745283,0.1808176,0.16194968,0.16037735,0.16666667,0.16666667,0.17138365,0.18238993,0.18238993,0.17138365
